date,hour,fw,bw
2016-11-11,05,14,6
2016-11-11,06,50,25
2016-11-11,07,334,286
2016-11-11,08,605,484
2016-11-11,09,806,680
2016-11-11,10,1208,1038
2016-11-11,11,1395,1296
2016-11-11,12,1333,1315
2016-11-11,13,1488,1543
2016-11-11,14,1497,1410
2016-11-11,15,1717,1546
2016-11-11,16,1962,1883
2016-11-11,17,1785,1763
2016-11-11,18,1462,1453
2016-11-11,19,963,968
2016-11-11,20,554,553
2016-11-11,21,724,754
2016-11-11,22,590,662
2016-11-11,23,605,615
2016-11-12,00,288,339
2016-11-12,01,145,130
2016-11-12,02,20,37
2016-11-12,03,15,14
2016-11-12,04,11,7
2016-11-12,05,17,14
2016-11-12,06,41,23
2016-11-12,07,181,146
2016-11-12,08,418,363
2016-11-12,09,1005,877
2016-11-12,10,2042,1860
2016-11-12,11,3136,2871
2016-11-12,12,3003,2844
2016-11-12,13,2600,2409
2016-11-12,14,2791,2591
2016-11-12,15,4188,3698
2016-11-12,16,5265,4848
2016-11-12,17,4823,4838
2016-11-12,18,3478,3460
2016-11-12,19,1974,1977
2016-11-12,20,701,794
2016-11-12,21,609,594
2016-11-12,22,740,694
2016-11-12,23,572,596
2016-11-13,00,254,386
2016-11-13,01,78,116
2016-11-13,02,29,40
2016-11-13,03,14,10
2016-11-13,04,6,14
2016-11-13,05,18,16
2016-11-13,06,16,8
2016-11-13,07,100,78
2016-11-13,08,277,259
2016-11-13,09,1016,859
2016-11-13,10,2282,2135
2016-11-13,11,3316,2991
2016-11-13,12,2681,2725
2016-11-13,13,2287,2259
2016-11-13,14,3128,2360
2016-11-13,15,4015,3761
2016-11-13,16,5446,5677
2016-11-13,17,4389,4720
2016-11-13,18,2300,2316
2016-11-13,19,992,1107
2016-11-13,20,397,438
2016-11-13,21,219,252
2016-11-13,22,182,181
2016-11-13,23,52,68
2016-11-14,00,32,32
2016-11-14,01,3,7
2016-11-14,02,6,4
2016-11-14,03,4,8
2016-11-14,04,6,14
2016-11-14,05,22,25
2016-11-14,06,42,28
2016-11-14,07,299,247
2016-11-14,08,597,523
2016-11-14,09,834,767
2016-11-14,10,1091,1033
2016-11-14,11,1114,1042
2016-11-14,12,1137,1047
2016-11-14,13,1190,1171
2016-11-14,14,1269,1096
2016-11-14,15,1133,1080
2016-11-14,16,1386,1323
2016-11-14,17,1195,1200
2016-11-14,18,977,970
2016-11-14,19,524,577
2016-11-14,20,248,278
2016-11-14,21,159,257
2016-11-14,22,152,146
2016-11-14,23,107,95
2016-11-15,00,17,36
2016-11-15,01,22,25
2016-11-15,02,53,54
2016-11-15,03,36,37
2016-11-15,04,10,6
2016-11-15,05,34,17
2016-11-15,06,43,29
2016-11-15,07,328,282
2016-11-15,08,619,478
2016-11-15,09,885,735
2016-11-15,10,1373,1335
2016-11-15,11,1396,1372
2016-11-15,12,1132,1124
2016-11-15,13,1347,1260
2016-11-15,14,1258,1188
2016-11-15,15,1509,1378
2016-11-15,16,1415,1374
2016-11-15,17,1287,1296
2016-11-15,18,1017,1045
2016-11-15,19,613,599
2016-11-15,20,294,298
2016-11-15,21,162,176
2016-11-15,22,115,118
2016-11-15,23,73,103
2016-11-16,00,44,43
2016-11-16,01,45,51
2016-11-16,02,30,15
2016-11-16,03,19,11
2016-11-16,04,26,24
2016-11-16,05,36,26
2016-11-16,06,57,37
2016-11-16,07,319,291
2016-11-16,08,626,515
2016-11-16,09,890,802
2016-11-16,10,1347,1271
2016-11-16,11,1378,1352
2016-11-16,12,1347,1341
2016-11-16,13,1507,1450
2016-11-16,14,1236,1250
2016-11-16,15,1636,1461
2016-11-16,16,1587,1487
2016-11-16,17,1464,1423
2016-11-16,18,987,1020
2016-11-16,19,593,587
2016-11-16,20,278,299
2016-11-16,21,189,220
2016-11-16,22,136,145
2016-11-16,23,84,79
2016-11-17,00,12,26
2016-11-17,01,9,12
2016-11-17,02,13,15
2016-11-17,03,6,6
2016-11-17,04,10,15
2016-11-17,05,23,17
2016-11-17,06,47,25
2016-11-17,07,302,277
2016-11-17,08,614,509
2016-11-17,09,802,646
2016-11-17,10,1342,1211
2016-11-17,11,1454,1419
2016-11-17,12,1356,1338
2016-11-17,13,1268,1275
2016-11-17,14,1281,1204
2016-11-17,15,1428,1366
2016-11-17,16,1449,1393
2016-11-17,17,1217,1186
2016-11-17,18,1178,1212
2016-11-17,19,666,710
2016-11-17,20,317,299
2016-11-17,21,257,267
2016-11-17,22,196,189
2016-11-17,23,131,125
2016-11-18,00,49,40
2016-11-18,01,16,13
2016-11-18,02,18,21
2016-11-18,03,22,12
2016-11-18,04,16,18
2016-11-18,05,34,26
2016-11-18,06,89,61
2016-11-18,07,317,262
2016-11-18,08,587,506
2016-11-18,09,861,710
2016-11-18,10,1336,1216
2016-11-18,11,1444,1400
2016-11-18,12,1357,1280
2016-11-18,13,1381,1315
2016-11-18,14,1335,1218
2016-11-18,15,1387,1305
2016-11-18,16,1413,1376
2016-11-18,17,1096,1111
2016-11-18,18,897,911
2016-11-18,19,485,569
2016-11-18,20,250,248
2016-11-18,21,190,213
2016-11-18,22,196,190
2016-11-18,23,184,183
2016-11-19,00,94,80
2016-11-19,01,35,48
2016-11-19,02,22,20
2016-11-19,03,2,5
2016-11-19,04,3,5
2016-11-19,05,16,11
2016-11-19,06,24,12
2016-11-19,07,160,137
2016-11-19,08,275,251
2016-11-19,09,721,587
2016-11-19,10,1366,1247
2016-11-19,11,1795,1667
2016-11-19,12,1598,1652
2016-11-19,13,1397,1317
2016-11-19,14,1641,1487
2016-11-19,15,2370,2175
2016-11-19,16,2874,2715
2016-11-19,17,3026,2969
2016-11-19,18,2414,2208
2016-11-19,19,1437,1421
2016-11-19,20,602,595
2016-11-19,21,575,490
2016-11-19,22,618,594
2016-11-19,23,660,603
2016-11-20,00,249,315
2016-11-20,01,67,112
2016-11-20,02,37,50
2016-11-20,03,113,85
2016-11-20,04,121,79
2016-11-20,05,47,33
2016-11-20,06,41,23
2016-11-20,07,92,65
2016-11-20,08,199,188
2016-11-20,09,750,590
2016-11-20,10,1436,1176
2016-11-20,11,2169,2044
2016-11-20,12,2040,1853
2016-11-20,13,1244,1171
2016-11-20,14,1527,1446
2016-11-20,15,2798,2393
2016-11-20,16,3583,3247
2016-11-20,17,3515,3455
2016-11-20,18,2486,2353
2016-11-20,19,856,978
2016-11-20,20,282,310
2016-11-20,21,138,141
2016-11-20,22,159,163
2016-11-20,23,85,83
2016-11-21,00,11,20
2016-11-21,01,8,11
2016-11-21,02,2,1
2016-12-02,18,2076,2308
2016-11-21,03,1,0
2016-11-21,04,3,6
2016-11-21,05,3,4
2016-11-21,06,34,26
2016-11-21,07,306,263
2016-11-21,08,497,436
2016-11-21,09,551,501
2016-11-21,10,760,721
2016-11-21,11,771,760
2016-11-21,12,687,687
2016-11-21,13,867,841
2016-11-21,14,904,831
2016-11-21,15,738,766
2016-11-21,16,797,794
2016-11-21,17,699,756
2016-11-21,18,581,629
2016-11-21,19,326,353
2016-11-21,20,159,192
2016-11-21,21,81,101
2016-11-21,22,61,82
2016-11-21,23,21,32
2016-11-22,00,5,10
2016-11-22,01,1,3
2016-11-22,02,4,1
2016-11-22,03,2,2
2016-11-22,04,4,1
2016-11-22,05,12,7
2016-11-22,06,29,19
2016-11-22,07,310,266
2016-11-22,08,473,390
2016-11-22,09,563,494
2016-11-22,10,694,705
2016-11-22,11,900,883
2016-11-22,12,874,887
2016-11-22,13,932,960
2016-11-22,14,974,883
2016-11-22,15,863,890
2016-11-22,16,983,990
2016-11-22,17,879,961
2016-11-22,18,788,891
2016-11-22,19,536,612
2016-11-22,20,325,299
2016-11-22,21,294,273
2016-11-22,22,216,203
2016-11-22,23,153,137
2016-11-23,00,96,89
2016-11-23,01,26,23
2016-11-23,02,11,5
2016-11-23,03,44,37
2016-11-23,04,120,96
2016-11-23,05,52,34
2016-11-23,06,123,86
2016-11-23,07,303,263
2016-11-23,08,583,513
2016-11-23,09,741,690
2016-11-23,10,1015,987
2016-11-23,11,1128,1078
2016-11-23,12,1016,1010
2016-11-23,13,1042,1066
2016-11-23,14,1148,1026
2016-11-23,15,1067,1052
2016-11-23,16,1216,1164
2016-11-23,17,1423,1352
2016-11-23,18,1334,1316
2016-11-23,19,800,821
2016-11-23,20,273,274
2016-11-23,21,292,258
2016-11-23,22,246,248
2016-11-23,23,114,146
2016-11-24,00,27,32
2016-11-24,01,36,24
2016-11-24,02,7,7
2016-11-24,03,4,3
2016-11-24,04,5,2
2016-11-24,05,20,14
2016-11-24,06,63,28
